Date,NO2,SO2,PM25,PM10
2025-01-01,,,4.012,
2025-01-02,,,6.006666666666667,
2025-01-03,,,5.891764705882353,
2025-01-04,,,25.485,
2025-01-05,,,5.234999999999999,
2025-01-06,,,1.2125,
2025-01-07,,,2.25,
2025-01-08,,,4.895714285714285,
2025-01-09,,,15.402857142857142,
2025-01-10,,,59.4,72.4
2025-01-11,,,74.5,
2025-01-12,,,25.52,
2025-01-13,,,7.82,
2025-01-14,,,17.75,
2025-01-15,,,29.03333333333333,
2025-01-16,,,19.1,
2025-01-17,,,32.2,
2025-01-18,,,34.5,
2025-01-19,,,25.5,
2025-01-20,,,33.800000000000004,
2025-01-21,,,31.46666666666667,
2025-01-22,,,33.43333333333334,
2025-01-23,,,4.83,
2025-01-24,,,7.886666666666667,
2025-01-25,,,18.03333333333333,
2025-01-26,,,0.8000000000000002,
2025-01-27,,,5.833333333333333,
2025-01-28,,,3.6666666666666665,
2025-01-29,,,6.593333333333334,
2025-01-30,,,11.308333333333332,
2025-01-31,,,8.425,
2025-02-01,,,22.333333333333332,
2025-02-02,,,26.333333333333332,
2025-02-03,,,9.266666666666667,
2025-02-04,,,5.433333333333334,
2025-02-05,,,11.575,24.0
2025-02-06,,,6.45,22.0
2025-02-07,,,23.15,43.0
2025-02-08,,,18.05,37.0
2025-02-09,,,32.63333333333333,49.0
2025-02-10,,,21.266666666666666,30.0
2025-02-11,,,35.325,41.0
2025-02-12,,,30.9,35.0
2025-02-13,,,16.125,32.0
2025-02-14,,,42.55,44.0
2025-02-15,,,44.2,49.0
2025-02-16,,,42.7,43.0
2025-02-17,,,33.75,35.0
2025-02-18,,,41.6,50.0
2025-02-19,,,49.6,47.0
2025-02-20,,,5.445,4.0
2025-02-21,,,8.6,10.0
2025-02-22,,,13.9,28.0
2025-02-23,,,5.6899999999999995,11.0
2025-02-24,,,13.895,40.0
2025-02-25,,,10.045,28.0
2025-02-26,,,1.69,
2025-03-06,48.7,,,
2025-03-07,32.4,,,
2025-03-09,75.0,,,
2025-03-10,54.9,,,
2025-03-11,35.0,,,
2025-03-17,,,18.0,31.0
2025-03-18,,,16.0,
2025-03-22,50.2,,,
2025-03-23,13.2,,,
2025-03-24,39.6,,,
2025-03-25,20.1,,,
2025-03-26,30.2,,,
2025-03-27,16.7,,7.0,9.0
2025-03-28,27.2,,5.0,20.0
2025-03-29,17.0,,5.5,17.0
2025-03-30,24.8,,6.0,12.0
2025-03-31,16.5,,6.0,12.0
2025-04-01,21.6,,14.0,22.0
2025-04-02,16.1,,12.5,27.0
2025-04-03,44.6,,28.0,42.5
2025-04-04,,,19.0,37.5
2025-04-05,10.2,,8.0,20.5
2025-04-06,14.8,,,21.0
2025-04-07,36.8,,12.0,21.5
2025-04-08,20.2,,12.5,20.0
2025-04-09,13.0,,7.0,12.5
2025-04-10,,,7.0,13.0
2025-04-11,48.5,,12.25,27.0
2025-04-12,,,20.0,30.0
2025-04-13,19.65,,6.25,12.5
2025-04-14,22.25,,9.5,12.5
2025-04-15,6.0,,7.25,13.0
2025-04-16,29.450000000000003,,5.5,11.0
2025-04-17,51.5,,9.25,15.5
2025-04-18,20.2,,10.48,23.5
2025-04-19,10.5,,6.998,16.0
2025-04-20,17.0,,15.3,12.0
2025-04-21,13.149999999999999,,4.6,
2025-04-22,17.55,,5.610666666666667,
2025-04-23,42.2,,11.9,
2025-04-24,36.8,,11.226666666666667,
2025-04-25,18.950000000000003,,15.524999999999999,
2025-04-26,36.150000000000006,,37.45,
2025-04-27,36.8,,18.9,
2025-04-28,31.46666666666667,,13.540000000000001,
2025-04-29,40.8,,20.85,
2025-04-30,42.46666666666667,,39.43333333333333,
2025-05-01,,,8.675,
